U_m_per_s,sigma_1_per_s,omega_1_rad_per_s,zeta_1,sigma_2_per_s,omega_2_rad_per_s,zeta_2
0.1,-0.19310405627456007,19.451511215040647,0.009926968615149006,-0.5262292121185819,50.58419018643499,0.010402474318361004
0.22404809619238478,-0.19935284556348298,19.451492721088556,0.010248178873141969,-0.5346206165987377,50.5839794105206,0.010568380857464865
0.3480961923847695,-0.20560240013527586,19.451512123879436,0.010569405316344479,-0.5430122077331925,50.58365814331277,0.010734315040279432
0.4721442885771543,-0.21185308825085647,19.45156942136344,0.0108906648972144,-0.5514041443438061,50.583226380175056,0.010900281080809182
0.5961923847695391,-0.21810527809218172,19.45166460920146,0.011211974564288183,-0.5597965852736844,50.582684113826936,0.011066283194566474
0.7202404809619238,-0.2243593377029356,19.45179768076928,0.011533351258934182,-0.5681896893831673,50.58203133434276,0.011232325598624799
0.8442885771543086,-0.23061563492941528,19.451968627163566,0.01185481191211517,-0.5765836155458178,50.58126802915089,0.011398412511672106
0.9683366733466934,-0.2368745373614924,19.45217743721001,0.01217637344115352,-0.5849785226444437,50.58039418303302,0.011564548154064842
1.0923847695390783,-0.24313641227390814,19.452424097473187,0.012498052746512566,-0.5933745695670578,50.57940977812266,0.011730736747881098
1.2164328657314631,-0.24940162656786913,19.452708592268046,0.012819866708592502,-0.6017719152028803,50.578314793903914,0.011896982516974674
1.3404809619238478,-0.25567054671292855,19.45303090367387,0.0131418321845395,-0.6101707184383519,50.57710920721033,0.012063289687029459
1.4645290581162325,-0.26194353868935893,19.45339101154967,0.01346396600507922,-0.6185711381531173,50.57579299222284,0.012229662485613642
1.5885771543086173,-0.2682209679309002,19.453788893551536,0.013786284971368423,-0.6269733332160079,50.574366120468554,0.012396105142233854
1.7126252505010022,-0.2745031992680871,19.454224525151947,0.014108805851875114,-0.6353774624810735,50.57282856081853,0.012562621888390729
1.8366733466933869,-0.2807905968721012,19.45469787966062,0.014431545379284708,-0.6437836847835351,50.5711802794858,0.01272921695763303
1.9607214428857715,-0.2870835241992582,19.455208928247494,0.014754520247437399,-0.6521921589358032,50.569421240023225,0.012895894585613368
2.0847695390781564,-0.2933823439361669,19.45575763996733,0.015077747108298949,-0.6606030437234798,50.56755140332137,0.013062659010143775
2.2088176352705413,-0.2996874179455373,19.45634398178607,0.015401242568963677,-0.6690164979013394,50.565570727605795,0.013229514471251274
2.332865731462926,-0.30599910721285206,19.456967918608918,0.015725023188700536,-0.6774326801893333,50.56347916843449,0.013396465211234127
2.4569138276553106,-0.31231777179376996,19.457629413310112,0.016049105476035583,-0.6858517492685666,50.56127667869517,0.013563515474717859
2.5809619238476955,-0.31864377076241357,19.458328426764655,0.016373505885878416,-0.6942738637773216,50.55896320860244,0.013730669508712476
2.7050100200400804,-0.32497746216055434,19.459064917881154,0.01669824081669383,-0.7026991823070223,50.55653870569452,0.013897931562668985
2.829058116232465,-0.33131920294774586,19.45983884363675,0.017023326607720525,-0.7111278633982501,50.5540031148303,0.01406530588853709
2.9531062124248497,-0.3376693489524416,19.460650159113662,0.017348779536239027,-0.7195600655366972,50.55135637818571,0.014232796740822205
3.0771543086172346,-0.34402825482412025,19.46149881753676,0.01767461581489049,-0.7279959471492099,50.548598435250454,0.014400408376644452
3.2012024048096195,-0.35039627398653783,19.462384770313296,0.018000851589051424,-0.7364356665997401,50.54572922282425,0.014568145055796343
3.3252505010020044,-0.35677375859202165,19.46330796707379,0.01832750293426086,-0.7448793821853421,50.54274867501269,0.014736011040801826
3.449298597194389,-0.3631610594769419,19.464268355714367,0.018654585853706555,-0.7533272521321501,50.539656723223835,0.0149040105969751
3.5733466933867737,-0.3695585261183747,19.465265882440686,0.018982116275770827,-0.761779434591372,50.536453296163835,0.015072147992480444
3.6973947895791586,-0.3759665065919717,19.4663004918131,0.01931011005163692,-0.7702360876352945,50.53313831983232,0.015240427498392719
3.821442885771543,-0.3823853475310388,19.4673721267932,0.01963858295295598,-0.7786973692532051,50.52971171751856,0.015408853388756416
3.945490981963928,-0.38881539408699695,19.46848072879165,0.019967550669583445,-0.7871634373474234,50.526173409796186,0.015577429940647754
4.069539078156312,-0.3952569898910197,19.46962623771737,0.020297028807374173,-0.7956344497292627,50.52252331451903,0.015746161434235465
4.193587174348697,-0.4017104770171369,19.470808592027826,0.020627032886051343,-0.8041105641149842,50.51876134681572,0.015915052152842286
4.317635270541082,-0.40817619594661725,19.4720277287806,0.020957578337139262,-0.8125919381217931,50.514887419084886,0.016084106383007602
4.441683366733467,-0.4146544855337928,19.47328358368594,0.02128868050196865,-0.8210787292637929,50.51090144098983,0.016253328414549833
4.565731462925852,-0.4211456829732727,19.474576091160593,0.021620354629751325,-0.8295710949479602,50.50680331945294,0.016422722540629892
4.689779559118236,-0.4276501237686041,19.47590518438267,0.02195261587572732,-0.8380691924700969,50.502592958650126,0.016592293057814664
4.813827655310621,-0.4341681417023997,19.477270795347415,0.022285479299385656,-0.8465731790107947,50.49827026000555,0.016762044266141165
4.937875751503006,-0.44070006880791013,19.47867285492371,0.0226189598627576,-0.8550832116313847,50.493835122184734,0.016931980469181485
5.0619238476953905,-0.4472462353421598,19.480111292912266,0.0229530724287873,-0.8635994472698887,50.48928744108957,0.017102105974107707
5.185971943887775,-0.45380696976049384,19.481586038103917,0.02328783175977383,-0.8721220427369791,50.484627109850955,0.017272425091758366
5.31002004008016,-0.46038259869275056,19.48309701833892,0.02362325251589428,-0.8806511547119025,50.479854018823254,0.01744294213670412
5.434068136272545,-0.4669734469208904,19.48464416056732,0.023959349253799247,-0.8891869397384307,50.47496805557723,0.017613661427315172
5.558116232464929,-0.47357983735825737,19.486227390909942,0.024296136425289952,-0.897729554220787,50.469969104893046,0.017784587285828723
5.682164328657314,-0.48020209103026845,19.487846634719798,0.024633628376066807,-0.9062791544195745,50.464857048753764,0.017955724038416967
5.806212424849699,-0.48684052705683234,19.489501816644502,0.0249718393445639,-0.9148358964477135,50.45963176633779,0.01812707601525629
5.930260521042084,-0.49349546263618893,19.49119286068919,0.025310783460854164,-0.923399936266321,50.4542931340118,0.018298647550595838
6.054308617234469,-0.5001672130304091,19.492919690279916,0.02565047474563734,-0.9319714296806696,50.448841025323034,0.01847044298282849
6.1783567134268536,-0.5068560915524714,19.494682228327598,0.025990927109306294,-0.9405505323360639,50.443275310991446,0.018642466654561065
6.302404809619238,-0.5135624095548887,19.496480397292643,0.026332154351089983,-0.9491373997137194,50.437595858902164,0.0188147229126851
6.426452905811623,-0.5202864764199118,19.4983141192497,0.026674170158274956,-0.9577321871267088,50.431802534097024,0.018987216108450083
6.550501002004008,-0.527028599551338,19.500183315952846,0.027016988105506463,-0.9663350497158043,50.4258951987665,0.019159950597535187
6.674549098196392,-0.533789084367879,19.502087908901597,0.02736062165416599,-0.974946142445341,50.41987371224119,0.019332930740122416
6.798597194388777,-0.540568234298147,19.504027819406396,0.02770508415182992,-0.9835656200991343,50.41373793098288,0.01950616090097173
6.922645290581162,-0.5473663507770974,19.50600296865531,0.028050388831798705,-0.9921936372762965,50.407487708576,0.019679645449494826
7.046693386773547,-0.5541837332441624,19.50801327778003,0.02839654881271079,-1.0008303483871086,50.40112289571831,0.019853388759831142
7.170741482965932,-0.5610206791428616,19.510058667922884,0.028743577098227977,-1.0094759076488282,50.39464334021159,0.020027395210923442
